endid,endname,end_lat,end_long,geometry,zipcode
13001,Michigan Ave & Washington St,41.883984,-87.62469,POINT (-87.62469 41.883984),60602
13006,LaSalle St & Washington St,41.882664,-87.63253,POINT (-87.63253 41.882664),60602
13008,Millennium Park,41.88103,-87.624084,POINT (-87.624084 41.88103),60603
13011,Canal St & Adams St,41.879528,-87.64028,POINT (-87.64028 41.879528),60606
13016,St. Clair St & Erie St,41.894344,-87.622795,POINT (-87.622795 41.894344),60611
13017,Franklin St & Chicago Ave,41.896748,-87.635666,POINT (-87.635666 41.896748),60610
13021,Clinton St & Lake St,41.885635,-87.64182,POINT (-87.64182 41.885635),60661
13022,Streeter Dr & Grand Ave,41.892277,-87.612045,POINT (-87.61204499999999 41.892277),60611
13028,900 W Harrison St,41.874756,-87.64981,POINT (-87.64981 41.874756),60607
13029,Field Museum,41.86531,-87.61787,POINT (-87.61787 41.86531),60605
13033,Milwaukee Ave & Grand Ave,41.891674,-87.64841,POINT (-87.64841 41.891674),60642
13034,Michigan Ave & Pearson St,41.89766,-87.62351,POINT (-87.62351 41.89766),60611
13036,Michigan Ave & Madison St,41.882133,-87.62512,POINT (-87.62512 41.882133),60602
13037,Clinton St & Tilden St,41.875885,-87.64079,POINT (-87.64079 41.875885),60607
13042,Michigan Ave & Oak St,41.90096,-87.62378,POINT (-87.62378 41.90096),60611
13045,Dearborn St & Erie St,41.893993,-87.62932,POINT (-87.62932000000001 41.893993),60654
13050,State St & Kinzie St,41.889187,-87.627754,POINT (-87.627754 41.889187),60611
13053,Green St & Randolph St,41.883667,-87.64867,POINT (-87.64867 41.883667),60607
13056,Canal St & Monroe St,41.88169,-87.63953,POINT (-87.63952999999999 41.88169),60606
13058,Dayton St & North Ave,41.91058,-87.64942,POINT (-87.64942000000001 41.91058),60642
13059,Bissell St & Armitage Ave,41.91844,-87.65222,POINT (-87.65222 41.91844),60614
13061,Ashland Ave & Division St,41.90345,-87.66775,POINT (-87.66775 41.90345),60622
13063,Sheridan Rd & Irving Park Rd,41.954247,-87.6544,POINT (-87.6544 41.954247),60613
13068,Western Ave & Winnebago Ave,41.91585,-87.68715,POINT (-87.68715 41.91585),60647
13071,Southport Ave & Roscoe St,41.94374,-87.66402,POINT (-87.66401999999999 41.94374),60657
13073,Ashland Ave & Lake St,41.88592,-87.66717,POINT (-87.66717 41.88592),60607
13074,Broadway & Wilson Ave,41.965267,-87.658195,POINT (-87.65819500000001 41.965267),60640
13075,Wentworth Ave & Cermak Rd,41.853085,-87.63193,POINT (-87.63193 41.853085),60616
13080,Hermitage Ave & Polk St,41.871513,-87.66988,POINT (-87.66988000000001 41.871513),60612
13081,Ogden Ave & Congress Pkwy,41.875027,-87.67327,POINT (-87.67327 41.875027),60612
13083,Indiana Ave & 40th St,41.821835,-87.621376,POINT (-87.621376 41.821835),60653
13084,California Ave & Milwaukee Ave,41.922695,-87.69715,POINT (-87.69714999999999 41.922695),60647
13085,Kedzie Ave & Milwaukee Ave,41.92967,-87.707985,POINT (-87.70798499999999 41.92967),60647
13089,Damen Ave & Cullerton St,41.854965,-87.6757,POINT (-87.67570000000001 41.854965),60608
13091,Western Ave & 21st St,41.854122,-87.68589,POINT (-87.68589 41.854122),60608
13096,California Ave & 21st St,41.853806,-87.69574,POINT (-87.69574 41.853806),60608
13099,Halsted St & 18th St,41.857647,-87.645805,POINT (-87.645805 41.857647),60616
13102,Calumet Ave & 18th St,41.857613,-87.61941,POINT (-87.61941 41.857613),60616
13108,Broadway & Argyle St,41.97399,-87.65973,POINT (-87.65973 41.97399),60640
13109,Broadway & Berwyn Ave,41.97835,-87.65975,POINT (-87.65975 41.97835),60640
13124,Cannon Dr & Fullerton Ave,41.926758,-87.63443,POINT (-87.63442999999999 41.926758),60614
13128,Clark St & North Ave,41.911976,-87.63194,POINT (-87.63194 41.911976),60614
13132,Damen Ave & Chicago Ave,41.895767,-87.67722,POINT (-87.67722000000001 41.895767),60612
13133,Damen Ave & Cortland St,41.91598,-87.67734,POINT (-87.67734 41.91598),60622
13134,Damen Ave & Madison St,41.881435,-87.67493,POINT (-87.67493 41.881435),60612
13135,Blue Island Ave & 18th St,41.857555,-87.66154,POINT (-87.66154 41.857555),60608
13136,Damen Ave & Division St,41.903267,-87.67844,POINT (-87.67843999999999 41.903267),60622
13137,Broadway & Barry Ave,41.937584,-87.6441,POINT (-87.64409999999999 41.937584),60657
13138,Canal St & Jackson Blvd,41.877247,-87.639366,POINT (-87.639366 41.877247),60607
13139,Throop St & Taylor St,41.86897,-87.65914,POINT (-87.65913999999999 41.86897),60607
13143,Damen Ave & Melrose Ave,41.940594,-87.67857,POINT (-87.67856999999999 41.940594),60612
13144,Seeley Ave & Roscoe St,41.9434,-87.67962,POINT (-87.67962 41.9434),60618
13146,Clark St & Armitage Ave,41.91833,-87.63634,POINT (-87.63634 41.91833),60614
13150,Michigan Ave & 18th St,41.857815,-87.62455,POINT (-87.62455 41.857815),60616
13154,Sheffield Ave & Kingsbury St,41.910522,-87.65311,POINT (-87.65311 41.910522),60642
13155,Racine Ave & Randolph St,41.884068,-87.65685,POINT (-87.65685000000001 41.884068),60607
13156,Aberdeen St & Monroe St,41.880505,-87.65537,POINT (-87.65537 41.880505),60607
13157,Aberdeen St & Jackson Blvd,41.87791,-87.654686,POINT (-87.654686 41.87791),60607
13158,Peoria St & Jackson Blvd,41.87764,-87.64962,POINT (-87.64962 41.87764),60607
13160,May St & Taylor St,41.869484,-87.65549,POINT (-87.65549 41.869484),60607
13162,Halsted St & 21st St,41.85378,-87.64661,POINT (-87.64661 41.85378),60608
13163,Morgan St & 18th St,41.85807,-87.65107,POINT (-87.65107 41.85807),60608
13164,Racine Ave & 18th St,41.858166,-87.656494,POINT (-87.656494 41.858166),60608
13165,Racine Ave & 13th St,41.865036,-87.656975,POINT (-87.656975 41.865036),60608
13179,Clark St & Lincoln Ave,41.9157,-87.63466,POINT (-87.63466 41.9157),60614
13191,Sedgwick St & Webster Ave,41.92217,-87.638885,POINT (-87.638885 41.92217),60614
13192,Halsted St & Dickens Ave,41.919937,-87.64883,POINT (-87.64883 41.919937),60614
13193,Larrabee St & Webster Ave,41.92182,-87.64414,POINT (-87.64413999999999 41.92182),60614
13194,Ogden Ave & Race Ave,41.891838,-87.658676,POINT (-87.658676 41.891838),60642
13196,Carpenter St & Huron St,41.894554,-87.65345,POINT (-87.65345000000001 41.894554),60642
13197,Elizabeth (May) St & Fulton St,41.8866,-87.65831,POINT (-87.65831 41.8866),60607
13206,Loomis St & Jackson Blvd,41.877945,-87.66201,POINT (-87.66201 41.877945),60607
13213,State St & 29th St,41.841705,-87.62694,POINT (-87.62694 41.841705),60616
13215,Rhodes Ave & 32nd St,41.83677,-87.61339,POINT (-87.61339 41.83677),60616
