year,percent_inter_travel,service
2017-01-01,77,bay
2018-01-01,74,bay
2019-01-01,73,bay
2020-01-01,35,bay
2015-01-01,81,blue
2016-01-01,80,blue
2017-01-01,79,blue
2018-01-01,79,blue
2019-01-01,78,blue
2020-01-01,75,blue
2010-01-01,72,capital
2011-01-01,76,capital
2012-01-01,76,capital
2013-01-01,76,capital
2014-01-01,76,capital
2015-01-01,75,capital
2016-01-01,75,capital
2017-01-01,74,capital
2018-01-01,74,capital
2019-01-01,73,capital
2020-01-01,65,capital
2013-01-01,84,citi
2014-01-01,83,citi
2015-01-01,84,citi
2016-01-01,83,citi
2017-01-01,82,citi
2018-01-01,81,citi
2019-01-01,80,citi
2020-01-01,79,citi
2013-01-01,77,divvy
2014-01-01,76,divvy
2015-01-01,75,divvy
2016-01-01,75,divvy
2017-01-01,75,divvy
2018-01-01,75,divvy
2019-01-01,76,divvy
2020-01-01,69,divvy
