zip_code,cbsa_type,zip_type,area_land_sq_meters,area_water_sq_meters,sex_and_age_population_total_population,sex_and_age_population_18_years_and_over_total_population,sex_and_age_age_median_age_years_total_population,employment_status_percent_in_labor_force_of_population_16_years_and_over,employment_status_percent_unemployed_of_civilian_labor_force_population_16_years_and_over,employment_status_percent_armed_forces_of_population_16_years_and_over,occupation_percent_management_business_science_and_arts_occupations_of_civilian_employed_population_16_years_and_over,income_and_benefits_in_2016_inflation_adjusted_dollars_dollars_median_household_income_dollars,income_and_benefits_in_2016_inflation_adjusted_dollars_dollars_per_capita_family_income_dollars,housing_occupancy_housing_units_total_housing_units,housing_occupancy_percent_vacant_housing_units_of_total_housing_units,vehicles_available_housing_units_occupied_housing_units,vehicles_available_percent_no_vehicles_available_of_occupied_housing_units,value_dollars_median_dollars_owner_occupied_units,gross_rent_dollars_median_dollars_occupied_units_paying_rent,units_in_structure_housing_units_total_housing_units,units_in_structure_percent_1_unit_attached_of_total_housing_units,units_in_structure_percent_1_unit_detached_of_total_housing_units,units_in_structure_percent_2_units_of_total_housing_units,units_in_structure_percent_3_or_4_units_of_total_housing_units,units_in_structure_percent_5_to_9_units_of_total_housing_units,units_in_structure_percent_10_to_19_units_of_total_housing_units,units_in_structure_percent_20_or_more_units_of_total_housing_units,households_by_type_population_average_household_size,educational_attainment_percent_bachelors_degree_or_higher_of_population_25_years_and_over,residence_1_year_ago_percent_diff_house_of_population_1_year_and_over,residence_1_year_ago_percent_same_house_of_population_1_year_and_over,residence_1_year_ago_population_population_1_year_and_over,school_enrollment_population_college_or_graduate_school_population_3_years_and_over_enrolled_in_school,population_density,percent_population_in_college_grad_school,zip_code_segment,num_stations
02108,Metropolitan Statistical Area,Zip Code Area,353039.0,0.0,4049.0,3622.0,35.2,0.6990000000000001,0.077,0.0,0.67,115042.0,93015.0,2282.0,0.121,2006.0,0.42,924000.0,1995.0,2282.0,0.064,0.015,0.045,0.125,0.184,0.201,0.366,1.7,0.8290000000000001,0.263,0.728,4049.0,580.0,29772.058823529413,0.143245245739,Medium density professionals,4
02109,Metropolitan Statistical Area,Zip Code Area,451168.0,292691.0,4015.0,3713.0,32.9,0.7490000000000001,0.053,0.011000000000000001,0.7440000000000001,117344.0,90980.0,2400.0,0.149,2043.0,0.532,779800.0,2382.0,2400.0,0.023,0.006999999999999999,0.022000000000000002,0.09,0.17300000000000001,0.07,0.616,1.72,0.736,0.324,0.625,3978.0,235.0,23074.71264367816,0.058530510585,Medium density professionals,2
02110,Metropolitan Statistical Area,Zip Code Area,477072.0,234496.0,2124.0,2012.0,53.6,0.67,0.018000000000000002,0.0,0.778,120800.0,154698.0,1569.0,0.174,1296.0,0.33299999999999996,794700.0,2569.0,1569.0,0.0,0.011000000000000001,0.0,0.0,0.018000000000000002,0.0,0.971,1.61,0.8740000000000001,0.17600000000000002,0.8059999999999999,2124.0,197.0,11543.478260869566,0.09274952919,Low density professionals,10
02111,Metropolitan Statistical Area,Zip Code Area,699955.0,43757.0,7564.0,6790.0,32.9,0.624,0.08800000000000001,0.0,0.475,39670.0,49479.0,3564.0,0.09699999999999999,3217.0,0.586,667600.0,1319.0,3564.0,0.013000000000000001,0.009000000000000001,0.025,0.039,0.081,0.07200000000000001,0.76,2.0,0.526,0.203,0.764,7493.0,2069.0,28014.81481481481,0.273532522474,College students,5
02113,Metropolitan Statistical Area,Zip Code Area,259756.0,0.0,7495.0,7188.0,30.2,0.8240000000000001,0.02,0.004,0.7140000000000001,86094.0,64452.0,4707.0,0.078,4342.0,0.514,518300.0,1777.0,4707.0,0.004,0.026000000000000002,0.032,0.317,0.32799999999999996,0.16899999999999998,0.125,1.72,0.772,0.309,0.68,7495.0,976.0,74950.0,0.130220146764,Very high density professionals,2
02114,Metropolitan Statistical Area,Zip Code Area,1162702.0,296490.0,13001.0,12063.0,31.3,0.738,0.046,0.002,0.77,86863.0,74971.0,7869.0,0.09699999999999999,7109.0,0.574,630700.0,2015.0,7869.0,0.049,0.009000000000000001,0.013999999999999999,0.07200000000000001,0.247,0.10800000000000001,0.501,1.72,0.8170000000000001,0.337,0.634,12878.0,1692.0,28955.456570155897,0.130143835089,Medium density professionals,8
02115,Metropolitan Statistical Area,Zip Code Area,1833364.0,103604.0,28976.0,27418.0,22.1,0.574,0.113,0.0,0.517,35274.0,24497.0,10223.0,0.078,9425.0,0.654,648300.0,1480.0,10223.0,0.024,0.006,0.01,0.113,0.17,0.134,0.542,1.75,0.648,0.364,0.583,28884.0,17543.0,40926.55367231639,0.605432081722,College students,11
02116,Metropolitan Statistical Area,Zip Code Area,1633317.0,265681.0,23004.0,21109.0,33.9,0.706,0.052000000000000005,0.0,0.718,100674.0,90004.0,13352.0,0.114,11834.0,0.44,875700.0,1677.0,13352.0,0.031,0.017,0.04,0.18100000000000002,0.215,0.13,0.386,1.72,0.762,0.22899999999999998,0.7509999999999999,22877.0,4326.0,36456.418383518234,0.18805425143399998,Medium density professionals,17
02118,Metropolitan Statistical Area,Zip Code Area,2839686.0,4897.0,27664.0,23470.0,33.6,0.665,0.061,0.0,0.6,59589.0,55184.0,13618.0,0.078,12558.0,0.45899999999999996,681400.0,1081.0,13618.0,0.059000000000000004,0.019,0.06,0.239,0.22,0.094,0.309,2.0,0.55,0.203,0.778,27140.0,3751.0,25240.87591240876,0.135591382301,Medium density professionals,19
02119,Metropolitan Statistical Area,Zip Code Area,4137556.0,0.0,26833.0,21004.0,35.2,0.631,0.12,0.0,0.305,30278.0,21110.0,11993.0,0.08,11028.0,0.446,346300.0,909.0,11993.0,0.146,0.06,0.131,0.31,0.095,0.07,0.187,2.38,0.235,0.113,0.879,26421.0,3132.0,16791.614518147682,0.116721946856,Medium density blue collar,12
02120,Metropolitan Statistical Area,Zip Code Area,1607482.0,0.0,15322.0,13336.0,23.5,0.609,0.139,0.0,0.456,29592.0,17550.0,5074.0,0.063,4755.0,0.56,353100.0,978.0,5074.0,0.11599999999999999,0.026000000000000002,0.087,0.28800000000000003,0.127,0.07,0.28600000000000003,2.74,0.41700000000000004,0.292,0.649,15214.0,6737.0,24673.107890499195,0.439694556846,College students,5
02121,Metropolitan Statistical Area,Zip Code Area,4520353.0,23476.0,28029.0,20471.0,31.2,0.626,0.185,0.0,0.188,26313.0,16834.0,11253.0,0.09,10245.0,0.452,369600.0,801.0,11253.0,0.045,0.051,0.19699999999999998,0.36,0.165,0.12,0.062,2.73,0.141,0.12,0.8690000000000001,27760.0,1913.0,16062.46418338109,0.068250740304,Medium density blue collar,3
02122,Metropolitan Statistical Area,Zip Code Area,5270568.0,1632378.0,24624.0,19287.0,34.2,0.701,0.11800000000000001,0.002,0.285,53103.0,26093.0,9154.0,0.095,8280.0,0.259,359500.0,1334.0,9154.0,0.052000000000000005,0.145,0.212,0.456,0.048,0.037000000000000005,0.049,2.89,0.24100000000000002,0.114,0.8740000000000001,24431.0,1764.0,12100.245700245701,0.07163742690000001,Low density blue collar,3
02124,Metropolitan Statistical Area,Zip Code Area,7758288.0,201636.0,52986.0,40379.0,34.2,0.682,0.09699999999999999,0.001,0.32299999999999995,50044.0,25768.0,20209.0,0.076,18667.0,0.311,338000.0,1220.0,20209.0,0.099,0.154,0.192,0.336,0.073,0.049,0.096,2.82,0.243,0.134,0.861,52231.0,3694.0,17691.485809682807,0.069716528894,Medium density blue collar,18
02125,Metropolitan Statistical Area,Zip Code Area,5522670.0,799277.0,36353.0,28982.0,31.9,0.698,0.11199999999999999,0.0,0.38299999999999995,49683.0,26145.0,13869.0,0.079,12774.0,0.31,357800.0,1216.0,13869.0,0.081,0.099,0.139,0.45,0.059000000000000004,0.033,0.14,2.8,0.325,0.142,0.835,35822.0,4004.0,17051.125703564732,0.11014221659800001,Medium density blue collar,11
02126,Metropolitan Statistical Area,Zip Code Area,5390651.0,56395.0,29531.0,22918.0,37.5,0.695,0.12,0.0,0.271,47902.0,22365.0,10645.0,0.075,9846.0,0.23800000000000002,306200.0,1236.0,10645.0,0.068,0.254,0.228,0.21100000000000002,0.057,0.059000000000000004,0.12300000000000001,2.98,0.17300000000000001,0.136,0.84,29278.0,2053.0,14190.773666506488,0.06952016525,Low density blue collar,9
02127,Metropolitan Statistical Area,Zip Code Area,5239738.0,1589877.0,36311.0,31470.0,31.1,0.765,0.049,0.002,0.5920000000000001,85336.0,51103.0,17509.0,0.054000000000000006,16569.0,0.28,469800.0,1360.0,17509.0,0.113,0.055999999999999994,0.14400000000000002,0.37200000000000005,0.142,0.061,0.111,2.17,0.594,0.18100000000000002,0.816,36058.0,2378.0,17949.085516559564,0.06548979648,Medium density professionals,14
02128,Metropolitan Statistical Area,Zip Code Area,12563923.0,2950009.0,46208.0,36456.0,33.7,0.752,0.07,0.0,0.20600000000000002,52152.0,25582.0,17254.0,0.064,16145.0,0.364,332200.0,1195.0,17254.0,0.055999999999999994,0.071,0.175,0.493,0.063,0.043,0.09300000000000001,2.85,0.223,0.14400000000000002,0.8340000000000001,45694.0,2593.0,9525.458668315809,0.056115824099000004,Medium density blue collar,18
02129,Metropolitan Statistical Area,Zip Code Area,3499233.0,1257507.0,18314.0,14758.0,34.0,0.757,0.04,0.006,0.599,90674.0,61545.0,9247.0,0.065,8649.0,0.257,570600.0,1130.0,9247.0,0.128,0.044000000000000004,0.111,0.275,0.11900000000000001,0.053,0.264,2.11,0.626,0.18899999999999997,0.809,17837.0,1103.0,13555.884529977795,0.060227148629,Medium density professionals,15
