year_month,trips,service
2017-06-01,2689,bay
2017-07-01,44073,bay
2017-08-01,83292,bay
2017-09-01,98558,bay
2017-10-01,108937,bay
2017-11-01,95611,bay
2017-12-01,86539,bay
2018-01-01,94802,bay
2018-02-01,106718,bay
2018-03-01,111382,bay
2018-04-01,131169,bay
2018-05-01,179125,bay
2018-06-01,195968,bay
2018-07-01,199222,bay
2018-08-01,192162,bay
2018-09-01,186217,bay
2018-10-01,201458,bay
2018-11-01,134129,bay
2018-12-01,131363,bay
2019-01-01,192082,bay
2019-02-01,183412,bay
2019-03-01,256299,bay
2019-04-01,239092,bay
2019-05-01,182163,bay
2019-06-01,191771,bay
2019-07-01,258102,bay
2019-08-01,210560,bay
2019-09-01,217986,bay
2019-10-01,239879,bay
2019-11-01,185426,bay
2019-12-01,150080,bay
2020-01-01,295837,bay
2020-02-01,424747,bay
2020-03-01,182624,bay
2020-04-01,86004,bay
2020-05-01,138215,bay
2020-06-01,158270,bay
2020-07-01,155114,bay
2020-08-01,152579,bay
2020-09-01,144083,bay
2020-10-01,167238,bay
2020-11-01,132820,bay
2020-12-01,106374,bay
2015-01-01,7840,blue
2015-02-01,4020,blue
2015-03-01,11271,blue
2015-04-01,55843,blue
2015-05-01,149143,blue
2015-06-01,144232,blue
2015-07-01,175321,blue
2015-08-01,160065,blue
2015-09-01,150516,blue
2015-10-01,126656,blue
2015-11-01,88718,blue
2015-12-01,48916,blue
2016-01-01,12055,blue
2016-02-01,14643,blue
2016-03-01,41277,blue
2016-04-01,84262,blue
2016-05-01,129260,blue
2016-06-01,164667,blue
2016-07-01,167383,blue
2016-08-01,174198,blue
2016-09-01,165690,blue
2016-10-01,137864,blue
2016-11-01,99907,blue
2016-12-01,44991,blue
2017-01-01,19518,blue
2017-02-01,17271,blue
2017-03-01,31253,blue
2017-04-01,99860,blue
2017-05-01,127894,blue
2017-06-01,161910,blue
2017-07-01,175833,blue
2017-08-01,190651,blue
2017-09-01,165384,blue
2017-10-01,163615,blue
2017-11-01,105457,blue
2017-12-01,55072,blue
2018-01-01,40932,blue
2018-02-01,62816,blue
2018-03-01,62985,blue
2018-04-01,98194,blue
2018-05-01,178865,blue
2018-06-01,205359,blue
2018-07-01,242914,blue
2018-08-01,236076,blue
2018-09-01,236182,blue
2018-10-01,200092,blue
2018-11-01,121384,blue
2018-12-01,81960,blue
2019-01-01,69871,blue
2019-02-01,80466,blue
2019-03-01,102369,blue
2019-04-01,166678,blue
2019-05-01,222980,blue
2019-06-01,273943,blue
2019-07-01,316986,blue
2019-08-01,337444,blue
2019-09-01,363159,blue
2019-10-01,305488,blue
2019-11-01,190751,blue
2019-12-01,92208,blue
2020-01-01,128598,blue
2020-02-01,133234,blue
2020-03-01,107350,blue
2020-04-01,46793,blue
2020-05-01,124879,blue
2020-06-01,191843,blue
2020-07-01,259722,blue
2020-08-01,289033,blue
2020-09-01,307853,blue
2020-10-01,248424,blue
2020-11-01,161712,blue
2020-12-01,74002,blue
2010-09-01,4002,capital
2010-10-01,35957,capital
2010-11-01,47388,capital
2010-12-01,28248,capital
2011-01-01,37503,capital
2011-02-01,47558,capital
2011-03-01,63195,capital
2011-04-01,93100,capital
2011-05-01,133785,capital
2011-06-01,141743,capital
2011-07-01,139578,capital
2011-08-01,135020,capital
2011-09-01,125901,capital
2011-10-01,122048,capital
2011-11-01,101015,capital
2011-12-01,86312,capital
2012-01-01,95871,capital
2012-02-01,102235,capital
2012-03-01,163211,capital
2012-04-01,172478,capital
2012-05-01,193718,capital
2012-06-01,200636,capital
2012-07-01,201560,capital
2012-08-01,212093,capital
2012-09-01,216264,capital
2012-10-01,196901,capital
2012-11-01,151313,capital
2012-12-01,122616,capital
2013-01-01,124989,capital
2013-02-01,110102,capital
2013-03-01,157366,capital
2013-04-01,236442,capital
2013-05-01,250463,capital
2013-06-01,253767,capital
2013-07-01,268016,capital
2013-08-01,288793,capital
2013-09-01,281937,capital
2013-10-01,254649,capital
2013-11-01,192398,capital
2013-12-01,136600,capital
2014-01-01,112697,capital
2014-02-01,122663,capital
2014-03-01,165762,capital
2014-04-01,269511,capital
2014-05-01,306734,capital
2014-06-01,316574,capital
2014-07-01,327833,capital
2014-08-01,320870,capital
2014-09-01,323936,capital
2014-10-01,297962,capital
2014-11-01,197038,capital
2014-12-01,151560,capital
2015-01-01,127411,capital
2015-02-01,108052,capital
2015-03-01,188256,capital
2015-04-01,318340,capital
2015-05-01,367185,capital
2015-06-01,314293,capital
2015-07-01,364015,capital
2015-08-01,364313,capital
2015-09-01,328038,capital
2015-10-01,290351,capital
2015-11-01,228270,capital
2015-12-01,187357,capital
2016-01-01,123252,capital
2016-02-01,145654,capital
2016-03-01,283493,capital
2016-04-01,285516,capital
2016-05-01,288720,capital
2016-06-01,368097,capital
2016-07-01,366458,capital
2016-08-01,357328,capital
2016-09-01,344408,capital
2016-10-01,343243,capital
2016-11-01,259086,capital
2016-12-01,168719,capital
2017-01-01,174804,capital
2017-02-01,226303,capital
2017-03-01,245403,capital
2017-04-01,365990,capital
2017-05-01,339677,capital
2017-06-01,398751,capital
2017-07-01,397680,capital
2017-08-01,402534,capital
2017-09-01,391371,capital
2017-10-01,384833,capital
2017-11-01,252526,capital
2017-12-01,177897,capital
2018-01-01,168590,capital
2018-02-01,182378,capital
2018-03-01,238998,capital
2018-04-01,328907,capital
2018-05-01,374115,capital
2018-06-01,392338,capital
2018-07-01,404761,capital
2018-08-01,403866,capital
2018-09-01,325800,capital
2018-10-01,343021,capital
2018-11-01,202376,capital
2018-12-01,177534,capital
2019-01-01,150780,capital
2019-02-01,158130,capital
2019-03-01,253811,capital
2019-04-01,347992,capital
2019-05-01,337704,capital
2019-06-01,350144,capital
2019-07-01,356645,capital
2019-08-01,360044,capital
2019-09-01,360225,capital
2019-10-01,337552,capital
2019-11-01,223512,capital
2019-12-01,161878,capital
2020-01-01,196969,capital
2020-02-01,177901,capital
2020-03-01,162530,capital
2020-04-01,75094,capital
2020-05-01,148459,capital
2020-06-01,213322,capital
2020-07-01,227417,capital
2020-08-01,250260,capital
2020-09-01,248722,capital
2020-10-01,228351,capital
2020-11-01,174795,capital
2020-12-01,105240,capital
2013-06-01,577702,citi
2013-07-01,843417,citi
2013-08-01,1001958,citi
2013-09-01,1034359,citi
2013-10-01,1037712,citi
2013-11-01,675774,citi
2013-12-01,443966,citi
2014-01-01,300400,citi
2014-02-01,224736,citi
2014-03-01,439117,citi
2014-04-01,670780,citi
2014-05-01,866117,citi
2014-06-01,936880,citi
2014-07-01,968842,citi
2014-08-01,963489,citi
2014-09-01,953887,citi
2014-10-01,828711,citi
2014-11-01,529188,citi
2014-12-01,399069,citi
2015-01-01,285552,citi
2015-02-01,196930,citi
2015-03-01,341826,citi
2015-04-01,652390,citi
2015-05-01,961986,citi
2015-06-01,941219,citi
2015-07-01,1085676,citi
2015-08-01,1179044,citi
2015-09-01,1289699,citi
2015-10-01,1212277,citi
2015-11-01,987175,citi
2015-12-01,804125,citi
2016-01-01,509478,citi
2016-02-01,560874,citi
2016-03-01,919921,citi
2016-04-01,1013149,citi
2016-05-01,1212280,citi
2016-06-01,1460318,citi
2016-07-01,1380110,citi
2016-08-01,1557663,citi
2016-09-01,1648856,citi
2016-10-01,1573872,citi
2016-11-01,1196859,citi
2016-12-01,812192,citi
2017-01-01,726676,citi
2017-02-01,791647,citi
2017-03-01,727665,citi
2017-04-01,1315404,citi
2017-05-01,1523268,citi
2017-06-01,1731594,citi
2017-07-01,1735599,citi
2017-08-01,1816498,citi
2017-09-01,1878098,citi
2017-10-01,1897592,citi
2017-11-01,1330600,citi
2017-12-01,889967,citi
2018-01-01,718994,citi
2018-02-01,843114,citi
2018-03-01,976672,citi
2018-04-01,1307543,citi
2018-05-01,1824710,citi
2018-06-01,1953103,citi
2018-07-01,1913625,citi
2018-08-01,1977177,citi
2018-09-01,1877884,citi
2018-10-01,1878657,citi
2018-11-01,1260355,citi
2018-12-01,1016505,citi
2019-01-01,967287,citi
2019-02-01,943744,citi
2019-03-01,1327960,citi
2019-04-01,1766094,citi
2019-05-01,1924563,citi
2019-06-01,2125370,citi
2019-07-01,2181064,citi
2019-08-01,2344224,citi
2019-09-01,2444900,citi
2019-10-01,2092573,citi
2019-11-01,1478708,citi
2019-12-01,955210,citi
2020-01-01,1240596,citi
2020-02-01,1146830,citi
2020-03-01,1068457,citi
2020-04-01,682762,citi
2020-05-01,1487890,citi
2020-06-01,1882273,citi
2020-07-01,2105808,citi
2020-08-01,2329514,citi
2020-09-01,2488225,citi
2020-10-01,2248869,citi
2020-11-01,1736704,citi
2020-12-01,1088929,citi
2013-06-01,4005,divvy
2013-07-01,74867,divvy
2013-08-01,170508,divvy
2013-09-01,201030,divvy
2013-10-01,174695,divvy
2013-11-01,90010,divvy
2013-12-01,44673,divvy
2014-01-01,25076,divvy
2014-02-01,28087,divvy
2014-03-01,69308,divvy
2014-04-01,158476,divvy
2014-05-01,278745,divvy
2014-06-01,346007,divvy
2014-07-01,410340,divvy
2014-08-01,392117,divvy
2014-09-01,308513,divvy
2014-10-01,237313,divvy
2014-11-01,113875,divvy
2014-12-01,86777,divvy
2015-01-01,59278,divvy
2015-02-01,35138,divvy
2015-03-01,107933,divvy
2015-04-01,176228,divvy
2015-05-01,301815,divvy
2015-06-01,415847,divvy
2015-07-01,533711,divvy
2015-08-01,495029,divvy
2015-09-01,427095,divvy
2015-10-01,316512,divvy
2015-11-01,193791,divvy
2015-12-01,121062,divvy
2016-01-01,92839,divvy
