endid,endname,end_lat,end_long,geometry,zipcode
14.0,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.337418,-71.10286,POINT (-71.10286000000001 42.337418),2115
15.0,Brighton Mills - 370 Western Ave,42.361546,-71.137764,POINT (-71.137764 42.361546),2135
16.0,Back Bay T Stop - Dartmouth St at Stuart St,42.348076,-71.07657,POINT (-71.07657 42.348076),2116
17.0,Soldiers Field Park - 111 Western Ave,42.36426,-71.11828,POINT (-71.11828 42.36426),2163
19.0,Park Dr at Buswell St,42.34724,-71.1053,POINT (-71.1053 42.34724),2215
20.0,Aquarium T Stop - 200 Atlantic Ave,42.359913,-71.05143,POINT (-71.05143 42.359913),2110
21.0,Prudential Center - 101 Huntington Ave,42.34652,-71.08066,POINT (-71.08065999999999 42.34652),2199
22.0,South Station - 700 Atlantic Ave,42.352177,-71.05555,POINT (-71.05555 42.352177),2110
23.0,Boston City Hall - 28 State St,42.35892,-71.05763,POINT (-71.05763 42.35892),2110
24.0,Seaport Square - Seaport Blvd at Northern Ave,42.351482,-71.04436,POINT (-71.04436 42.351482),2210
25.0,South End Library - Tremont St at W Newton St,42.34133,-71.07684,POINT (-71.07684 42.34133),2118
26.0,Washington St at Waltham St,42.341522,-71.068924,POINT (-71.068924 42.341522),2118
27.0,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.09517,POINT (-71.09517 42.331184),2120
29.0,Innovation Lab - 125 Western Ave at Batten Way,42.363144,-71.122986,POINT (-71.122986 42.363144),2134
30.0,Brigham Circle - Francis St at Huntington Ave,42.33463,-71.10408,POINT (-71.10408 42.33463),2115
31.0,Seaport Hotel - Congress St at Seaport Ln,42.348812,-71.04168,POINT (-71.04168 42.348812),2210
32.0,Landmark Center - Brookline Ave at Park Dr,42.34369,-71.102356,POINT (-71.102356 42.34369),2215
33.0,Kenmore Square,42.348705,-71.09701,POINT (-71.09701 42.348705),2215
36.0,Copley Square - Dartmouth St at Boylston St,42.34993,-71.07739,POINT (-71.07738999999999 42.34993),2116
37.0,New Balance - 20 Guest St,42.35733,-71.146736,POINT (-71.146736 42.35733),2135
39.0,Washington St. at Rutland St.,42.338493,-71.07402,POINT (-71.07402 42.338493),2118
40.0,Lewis Wharf at Atlantic Ave,42.363873,-71.05088,POINT (-71.05088000000001 42.363873),2110
41.0,Packard's Corner - Commonwealth Ave at Brighton Ave,42.35226,-71.12383,POINT (-71.12383 42.35226),2215
43.0,Rowes Wharf at Atlantic Ave,42.357143,-71.0507,POINT (-71.05070000000001 42.357143),2110
44.0,Congress St at Boston City Hall,42.360416,-71.057526,POINT (-71.057526 42.360416),2108
46.0,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.343666,-71.08582,POINT (-71.08582 42.343666),2115
47.0,Cross St at Hanover St,42.362812,-71.05607,POINT (-71.05607000000001 42.362812),2113
49.0,Stuart St at Charles St,42.351147,-71.06629,POINT (-71.06629 42.351147),2116
51.0,Washington St at Lenox St,42.3351,-71.07904,POINT (-71.07904000000001 42.3351),2118
54.0,Tremont St at West St,42.35498,-71.06335,POINT (-71.06335 42.35498),2111
55.0,Boylston St at Massachusetts Ave,42.347404,-71.086784,POINT (-71.08678399999999 42.347404),2115
56.0,Dudley Square - Bolling Building,42.32984,-71.08386,POINT (-71.08386 42.32984),2119
58.0,Mugar Way at Beacon St,42.355537,-71.07287,POINT (-71.07286999999999 42.355537),2108
59.0,Chinatown Gate Plaza,42.351357,-71.059364,POINT (-71.059364 42.351357),2111
60.0,Charles Circle - Charles St at Cambridge St,42.360794,-71.07119,POINT (-71.07119 42.360794),2114
63.0,Dorchester Ave at Gillette Park,42.34404,-71.05737,POINT (-71.05737000000001 42.34404),2127
65.0,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763,-71.04536,POINT (-71.04536 42.347763),2127
66.0,Allston Green District - Griggs St at Commonwealth Ave,42.349224,-71.13275,POINT (-71.13275 42.349224),2134
67.0,MIT at Mass Ave / Amherst St,42.3581,-71.0932,POINT (-71.0932 42.3581),2139
68.0,Central Square at Mass Ave / Essex St,42.36507,-71.1031,POINT (-71.1031 42.36507),2139
69.0,Coolidge Corner - Beacon St at Centre St,42.3416,-71.12334,POINT (-71.12334 42.3416),2446
70.0,Harvard Kennedy School at Bennett St / Eliot St,42.372215,-71.12188,POINT (-71.12188 42.372215),2138
71.0,Conway Park - Somerville Avenue,42.383404,-71.10759,POINT (-71.10759 42.383404),2143
72.0,One Broadway / Kendall Sq at Main St / 3rd St,42.362244,-71.08311,POINT (-71.08311 42.362244),2142
73.0,Harvard Square at Brattle St / Eliot St,42.37323,-71.12089,POINT (-71.12089 42.37323),2138
74.0,Harvard Square at Mass Ave/ Dunster,42.37327,-71.118576,POINT (-71.118576 42.37327),2138
75.0,Lafayette Square at Mass Ave / Main St / Columbia St,42.363464,-71.10057,POINT (-71.10057 42.363464),2139
76.0,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366425,-71.10549,POINT (-71.10549 42.366425),2139
78.0,Union Square - Somerville,42.379673,-71.09391,POINT (-71.09390999999999 42.379673),2143
79.0,Beacon St at Washington / Kirkland,42.37842,-71.10567,POINT (-71.10567 42.37842),2143
80.0,MIT Stata Center at Vassar St / Main St,42.362133,-71.091156,POINT (-71.091156 42.362133),2142
81.0,Chinatown T Stop,42.35241,-71.062675,POINT (-71.062675 42.35241),2111
82.0,Beacon St at Tappan St,42.33827,-71.13895,POINT (-71.13894999999999 42.33827),2445
84.0,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.36698,-71.07647,POINT (-71.07647 42.36698),2141
85.0,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.04893,POINT (-71.04893 42.378338),2129
86.0,Brookline Village - Station Street at MBTA,42.332745,-71.116264,POINT (-71.116264 42.332745),2445
87.0,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.36662,-71.11421,POINT (-71.11421 42.36662),2138
77.0,Somerville City Hall,42.386845,-71.09812,POINT (-71.09811999999999 42.386845),2143
89.0,Harvard Law School at Mass Ave / Jarvis St,42.37901,-71.11994,POINT (-71.11994 42.37901),2138
90.0,Lechmere Station at Cambridge St / First St,42.370678,-71.07653,POINT (-71.07653000000001 42.370678),2141
91.0,One Kendall Square at Hampshire St / Portland St,42.366276,-71.09169,POINT (-71.09169 42.366276),2139
92.0,University of Massachusetts Boston - Campus Center,42.31219,-71.03648,POINT (-71.03648 42.31219),2125
