endid,endname,end_lat,end_long,geometry,zipcode
31012.0,Clark St & 26th St S,38.850758,-77.05146,POINT (-77.05146000000001 38.850758),22202
31013.0,Eads St & 22nd St S,38.85438,-77.05341,POINT (-77.05341 38.85438),22202
31014.0,Lynn St & 19th St North,38.897316,-77.07099,POINT (-77.07098999999999 38.897316),22209
31015.0,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8946,-77.0723,POINT (-77.0723 38.8946),22209
31016.0,Clarendon Blvd & Pierce St,38.893436,-77.076385,POINT (-77.076385 38.893436),22209
31017.0,Wilson Blvd & N Uhle St,38.891876,-77.08483,POINT (-77.08483 38.891876),22201
31018.0,Rhodes St & 16th St N,38.892162,-77.07938,POINT (-77.07938 38.892162),22209
31019.0,Wilson Blvd & N Edgewood St,38.889,-77.0925,POINT (-77.0925 38.889),22201
31020.0,Wilson Blvd & N Franklin Rd,38.890438,-77.08884,POINT (-77.08884 38.890438),22201
31021.0,Clarendon Blvd & N Fillmore St,38.8881,-77.09308,POINT (-77.09308 38.8881),22201
31022.0,Clarendon Metro / Wilson Blvd & N Highland St,38.88786,-77.09487,POINT (-77.09487 38.88786),22201
31023.0,Fairfax Dr & Wilson Blvd,38.8858,-77.09775,POINT (-77.09775 38.8858),22201
31024.0,Virginia Square Metro / Monroe St & 9th St N,38.88279,-77.10315,POINT (-77.10315 38.88279),22203
31025.0,Central Library / Quincy St & 10th St N,38.88397,-77.10783,POINT (-77.10783000000001 38.88397),22201
31026.0,Washington Blvd & 10th St N,38.884735,-77.09348,POINT (-77.09348 38.884735),22201
31027.0,Key Blvd & N Quinn St,38.896355,-77.07841,POINT (-77.07841000000001 38.896355),22209
31028.0,N Veitch St & Key Blvd,38.893238,-77.08606,POINT (-77.08606 38.893238),22201
31029.0,N Veitch St & 20th St N,38.896923,-77.0865,POINT (-77.0865 38.896923),22201
31030.0,Lee Hwy & N Adams St,38.89593,-77.089005,POINT (-77.089005 38.89593),22201
31031.0,15th St & N Scott St,38.89054,-77.08095,POINT (-77.08095 38.89054),22209
