endid,endname,end_lat,end_long,geometry,zipcode
146.0,Hudson St & Reade St,40.71625,-74.00911,POINT (-74.00911000000001 40.71625),10013
150.0,E 2 St & Avenue C,40.720875,-73.98086,POINT (-73.98086000000001 40.720875),10009
151.0,Cleveland Pl & Spring St,40.722103,-73.997246,POINT (-73.997246 40.722103),10012
152.0,Warren St & Church St,40.71474,-74.00911,POINT (-74.00911000000001 40.71474),10007
157.0,Henry St & Atlantic Ave,40.69089,-73.996124,POINT (-73.99612399999999 40.69089),11201
161.0,LaGuardia Pl & W 3 St,40.72917,-73.9981,POINT (-73.99809999999999 40.72917),10012
164.0,E 47 St & 2 Ave,40.75323,-73.97032,POINT (-73.97032 40.75323),10017
168.0,W 18 St & 6 Ave,40.73971,-73.99456,POINT (-73.99456000000001 40.73971),10011
173.0,Broadway & W 49 St,40.760685,-73.98453,POINT (-73.98453000000001 40.760685),10019
174.0,E 25 St & 1 Ave,40.73818,-73.97739,POINT (-73.97739 40.73818),10010
212.0,W 16 St & The High Line,40.74335,-74.00682,POINT (-74.00682 40.74335),10011
216.0,Columbia Heights & Cranberry St,40.70038,-73.99548,POINT (-73.99548 40.70038),11201
217.0,Old Fulton St,40.70277,-73.993835,POINT (-73.993835 40.70277),11201
223.0,W 13 St & 7 Ave,40.737816,-73.99995,POINT (-73.99995 40.737816),10011
224.0,Spruce St & Nassau St,40.711464,-74.00552,POINT (-74.00552 40.711464),10038
228.0,E 48 St & 3 Ave,40.7546,-73.97188,POINT (-73.97188 40.7546),10017
229.0,Great Jones St,40.727436,-73.99379,POINT (-73.99379 40.727436),10012
232.0,Cadman Plaza E & Tillary St,40.695976,-73.99015,POINT (-73.99015 40.695976),11201
236.0,St Marks Pl & 2 Ave,40.72842,-73.98714,POINT (-73.98714 40.72842),10003
237.0,E 11 St & 2 Ave,40.730473,-73.986725,POINT (-73.98672500000001 40.730473),10003
238.0,Bank St & Washington St,40.7362,-74.00859,POINT (-74.00859 40.7362),10014
239.0,Willoughby St & Fleet St,40.691967,-73.9813,POINT (-73.9813 40.691967),11201
241.0,DeKalb Ave & S Portland Ave,40.68981,-73.97493,POINT (-73.97493 40.68981),11217
242.0,Carlton Ave & Flushing Ave,40.69779,-73.97374,POINT (-73.97374000000001 40.69779),11205
244.0,Willoughby Ave & Hall St,40.69196,-73.96537,POINT (-73.96536999999999 40.69196),11205
245.0,Myrtle Ave & St Edwards St,40.69327,-73.977036,POINT (-73.977036 40.69327),11205
247.0,Perry St & Bleecker St,40.735355,-74.00483,POINT (-74.00483 40.735355),10014
248.0,Laight St & Hudson St,40.721855,-74.00772,POINT (-74.00772000000001 40.721855),10013
249.0,Harrison St & Hudson St,40.718708,-74.009,POINT (-74.009 40.718708),10013
250.0,Lafayette St & Jersey St,40.72456,-73.99565,POINT (-73.99565 40.72456),10012
251.0,Mott St & Prince St,40.72318,-73.9948,POINT (-73.9948 40.72318),10012
252.0,MacDougal St & Washington Sq,40.732265,-73.99852,POINT (-73.99852 40.732265),10011
254.0,W 11 St & 6 Ave,40.735325,-73.998,POINT (-73.998 40.735325),10011
257.0,Lispenard St & Broadway,40.71939,-74.00247,POINT (-74.00247 40.71939),10013
258.0,DeKalb Ave & Vanderbilt Ave,40.689407,-73.96886,POINT (-73.96886000000001 40.689407),11205
259.0,South St & Whitehall St,40.70122,-74.012344,POINT (-74.012344 40.70122),10004
260.0,Broad St & Bridge St,40.70365,-74.01168,POINT (-74.01168 40.70365),10004
261.0,Johnson St & Gold St,40.694748,-73.98363,POINT (-73.98363000000001 40.694748),11201
262.0,Washington Park,40.691784,-73.97373,POINT (-73.97373 40.691784),11205
264.0,Maiden Ln & Pearl St,40.707066,-74.00732,POINT (-74.00732000000001 40.707066),10038
265.0,Stanton St & Chrystie St,40.722294,-73.99148,POINT (-73.99148 40.722294),10002
267.0,Broadway & W 36 St,40.750977,-73.987656,POINT (-73.987656 40.750977),10018
268.0,Howard St & Centre St,40.719105,-73.99973,POINT (-73.99973 40.719105),10013
270.0,Adelphi St & Myrtle Ave,40.69308,-73.97179,POINT (-73.97179 40.69308),11205
3547.0,Broadway & Moylan Pl,40.814327,-73.95902,POINT (-73.95902 40.814327),10027
137.0,E 56 St & Madison Ave,40.761627,-73.97292,POINT (-73.97292 40.761627),10022
274.0,Lafayette Ave & Fort Greene Pl,40.68692,-73.976685,POINT (-73.976685 40.68692),11217
147.0,Greenwich St & Warren St,40.715424,-74.01122,POINT (-74.01121999999999 40.715424),10007
275.0,Washington Ave & Greene Ave,40.6865,-73.96563,POINT (-73.96563 40.6865),11238
276.0,Duane St & Greenwich St,40.717487,-74.01045,POINT (-74.01045000000001 40.717487),10013
278.0,Concord St & Bridge St,40.697666,-73.984764,POINT (-73.984764 40.697666),11201
153.0,E 40 St & 5 Ave,40.752064,-73.981636,POINT (-73.98163599999999 40.752064),10017
281.0,Grand Army Plaza & Central Park S,40.764397,-73.97372,POINT (-73.97372 40.764397),10019
160.0,E 37 St & Lexington Ave,40.748238,-73.97831,POINT (-73.97830999999999 40.748238),10016
282.0,Kent Ave & S 11 St,40.707645,-73.968414,POINT (-73.968414 40.707645),11249
284.0,Greenwich Ave & 8 Ave,40.739017,-74.00264,POINT (-74.00264 40.739017),10014
167.0,E 39 St & 3 Ave,40.7489,-73.97605,POINT (-73.97605 40.7489),10016
285.0,Broadway & E 14 St,40.734547,-73.99074,POINT (-73.99074 40.734547),10003
289.0,Monroe St & Classon Ave,40.684566,-73.95881,POINT (-73.95881 40.684566),11238
291.0,Madison St & Montgomery St,40.713127,-73.98484,POINT (-73.98484000000001 40.713127),10002
195.0,Liberty St & Broadway,40.709057,-74.01044,POINT (-74.01044 40.709057),10005
293.0,Lafayette St & E 8 St,40.730206,-73.99103,POINT (-73.99102999999999 40.730206),10003
295.0,Pike St & E Broadway,40.714066,-73.99294,POINT (-73.99294 40.714066),10002
297.0,E 15 St & 3 Ave,40.734234,-73.98692,POINT (-73.98692 40.734234),10003
218.0,Gallatin Pl & Livingston St,40.690285,-73.98707,POINT (-73.98707 40.690285),11201
298.0,3 Ave & Schermerhorn St,40.686832,-73.979675,POINT (-73.979675 40.686832),11217
301.0,E 2 St & Avenue B,40.722176,-73.98369,POINT (-73.98369 40.722176),10009
225.0,W 14 St & The High Line,40.74195,-74.00803,POINT (-74.00803000000001 40.74195),10014
302.0,Avenue D & E 3 St,40.72083,-73.97793,POINT (-73.97793 40.72083),10009
303.0,Mercer St & Spring St,40.72363,-73.9995,POINT (-73.9995 40.72363),10012
304.0,Broadway & Battery Pl,40.70463,-74.01362,POINT (-74.01362 40.70463),10004
233.0,Cadman Plaza W & Pierrepont St,40.694756,-73.990524,POINT (-73.99052399999999 40.694756),11201
305.0,E 58 St & 3 Ave,40.760956,-73.96725,POINT (-73.96725000000001 40.760956),10022
307.0,Canal St & Rutgers St,40.714275,-73.9899,POINT (-73.98990000000001 40.714275),10002
308.0,St James Pl & Oliver St,40.713078,-73.99851,POINT (-73.99851 40.713078),10038
243.0,Fulton St & Rockwell Pl,40.68841,-73.97946,POINT (-73.97946 40.68841),11217
253.0,W 13 St & 5 Ave,40.73544,-73.99454,POINT (-73.99454 40.73544),10011
255.0,NYCBS Depot - SSP,40.646767,-74.01651,POINT (-74.01651 40.646767),11220
263.0,Elizabeth St & Hester St,40.71729,-73.996376,POINT (-73.996376 40.71729),10013
266.0,Avenue D & E 8 St (home location),40.723682,-73.975746,POINT (-73.975746 40.723682),10009
271.0,Ashland Pl & Hanson Pl,40.68528,-73.97806,POINT (-73.97806 40.68528),11243
279.0,Peck Slip & Front St,40.707874,-74.00167,POINT (-74.00167 40.707874),10038
280.0,E 10 St & 5 Ave,40.73332,-73.9951,POINT (-73.99509999999999 40.73332),10003
309.0,Murray St & West St,40.714977,-74.013016,POINT (-74.01301599999999 40.714977),10007
310.0,State St & Smith St,40.68927,-73.98913,POINT (-73.98913 40.68927),11201
311.0,Norfolk St & Broome St,40.717228,-73.98802,POINT (-73.98802000000001 40.717228),10002
312.0,Allen St & Stanton St,40.722054,-73.98911,POINT (-73.98911 40.722054),10002
313.0,Washington Ave & Park Ave,40.696102,-73.967514,POINT (-73.96751399999999 40.696102),11205
290.0,2 Ave & E 58 St,40.760204,-73.96478,POINT (-73.96478 40.760204),10022
315.0,South St & Gouverneur Ln,40.703552,-74.0067,POINT (-74.0067 40.703552),10005
316.0,Fulton St & William St,40.70956,-74.00654,POINT (-74.00654 40.70956),10038
294.0,Washington Square E,40.730495,-73.99572,POINT (-73.99572000000001 40.730495),10003
317.0,E 6 St & Avenue B,40.724537,-73.98186,POINT (-73.98186 40.724537),10009
296.0,Division St & Bowery,40.71413,-73.99705,POINT (-73.99705 40.71413),10002
319.0,Park Pl & Church St,40.71336,-74.00938,POINT (-74.00937999999999 40.71336),10007
320.0,Leonard St & Church St,40.71757,-74.00555,POINT (-74.00555 40.71757),10013
300.0,Shevchenko Pl & E 6 St,40.728146,-73.99021,POINT (-73.99021 40.728146),10003
321.0,Cadman Plaza E & Red Cross Pl,40.699917,-73.989716,POINT (-73.989716 40.699917),11201
323.0,Lawrence St & Willoughby St,40.69236,-73.98632,POINT (-73.98632000000001 40.69236),11201
324.0,DeKalb Ave & Hudson Ave,40.689888,-73.98101,POINT (-73.98101 40.689888),11201
325.0,E 19 St & 3 Ave,40.736244,-73.98474,POINT (-73.98474 40.736244),10003
326.0,E 11 St & 1 Ave,40.729538,-73.98427,POINT (-73.98427 40.729538),10003
