,day,hour,trips,service
0,0.0,0,9475,bay
1,0.0,1,6448,bay
2,0.0,2,4398,bay
3,0.0,3,2214,bay
4,0.0,4,1582,bay
5,0.0,5,2059,bay
6,0.0,6,3801,bay
7,0.0,7,7956,bay
8,0.0,8,16243,bay
9,0.0,9,29699,bay
10,0.0,10,42843,bay
11,0.0,11,53335,bay
12,0.0,12,60551,bay
13,0.0,13,65228,bay
14,0.0,14,66138,bay
15,0.0,15,64942,bay
16,0.0,16,62233,bay
17,0.0,17,55386,bay
18,0.0,18,46185,bay
19,0.0,19,35046,bay
20,0.0,20,24732,bay
21,0.0,21,18041,bay
22,0.0,22,12186,bay
23,0.0,23,7856,bay
24,1.0,0,4242,bay
25,1.0,1,2491,bay
26,1.0,2,1815,bay
27,1.0,3,1242,bay
28,1.0,4,1929,bay
29,1.0,5,6292,bay
30,1.0,6,23813,bay
31,1.0,7,62900,bay
32,1.0,8,122274,bay
33,1.0,9,90625,bay
34,1.0,10,42929,bay
35,1.0,11,39676,bay
36,1.0,12,45364,bay
37,1.0,13,44197,bay
38,1.0,14,42792,bay
39,1.0,15,50829,bay
40,1.0,16,82054,bay
41,1.0,17,134230,bay
42,1.0,18,104988,bay
43,1.0,19,64133,bay
44,1.0,20,39122,bay
45,1.0,21,25135,bay
46,1.0,22,15325,bay
47,1.0,23,8042,bay
48,2.0,0,4199,bay
49,2.0,1,2516,bay
50,2.0,2,1764,bay
51,2.0,3,1258,bay
52,2.0,4,1981,bay
53,2.0,5,7327,bay
54,2.0,6,27771,bay
55,2.0,7,73142,bay
56,2.0,8,136237,bay
57,2.0,9,98532,bay
58,2.0,10,45288,bay
59,2.0,11,40248,bay
60,2.0,12,46565,bay
61,2.0,13,44087,bay
62,2.0,14,42523,bay
63,2.0,15,51748,bay
64,2.0,16,85862,bay
65,2.0,17,141703,bay
66,2.0,18,112505,bay
67,2.0,19,68394,bay
68,2.0,20,42856,bay
69,2.0,21,28753,bay
70,2.0,22,18400,bay
71,2.0,23,9591,bay
72,3.0,0,4793,bay
73,3.0,1,2874,bay
74,3.0,2,1955,bay
75,3.0,3,1211,bay
76,3.0,4,1880,bay
77,3.0,5,7037,bay
78,3.0,6,26293,bay
79,3.0,7,69283,bay
80,3.0,8,132206,bay
81,3.0,9,96998,bay
82,3.0,10,46498,bay
83,3.0,11,42020,bay
84,3.0,12,47642,bay
85,3.0,13,46013,bay
86,3.0,14,44022,bay
87,3.0,15,54683,bay
88,3.0,16,86974,bay
89,3.0,17,140399,bay
90,3.0,18,112219,bay
91,3.0,19,69053,bay
92,3.0,20,43135,bay
93,3.0,21,29703,bay
94,3.0,22,19039,bay
95,3.0,23,10116,bay
96,4.0,0,4979,bay
97,4.0,1,2728,bay
98,4.0,2,2006,bay
99,4.0,3,1353,bay
100,4.0,4,1941,bay
101,4.0,5,6610,bay
102,4.0,6,25676,bay
103,4.0,7,68146,bay
104,4.0,8,129367,bay
105,4.0,9,97489,bay
106,4.0,10,46823,bay
107,4.0,11,42505,bay
108,4.0,12,48534,bay
109,4.0,13,45796,bay
110,4.0,14,44921,bay
111,4.0,15,54238,bay
112,4.0,16,86672,bay
113,4.0,17,138382,bay
114,4.0,18,109911,bay
115,4.0,19,68054,bay
116,4.0,20,43979,bay
117,4.0,21,31101,bay
118,4.0,22,20572,bay
119,4.0,23,11738,bay
120,5.0,0,6211,bay
121,5.0,1,3475,bay
122,5.0,2,2115,bay
123,5.0,3,1474,bay
124,5.0,4,1932,bay
125,5.0,5,6061,bay
126,5.0,6,21671,bay
127,5.0,7,58415,bay
128,5.0,8,116498,bay
129,5.0,9,92104,bay
130,5.0,10,47741,bay
131,5.0,11,45756,bay
132,5.0,12,51923,bay
133,5.0,13,51794,bay
134,5.0,14,51748,bay
135,5.0,15,63312,bay
136,5.0,16,93851,bay
137,5.0,17,126187,bay
138,5.0,18,94560,bay
139,5.0,19,58166,bay
140,5.0,20,36249,bay
141,5.0,21,26321,bay
142,5.0,22,20923,bay
143,5.0,23,15169,bay
144,6.0,0,10134,bay
145,6.0,1,6830,bay
146,6.0,2,4283,bay
147,6.0,3,2101,bay
148,6.0,4,1569,bay
149,6.0,5,2124,bay
150,6.0,6,4725,bay
151,6.0,7,10072,bay
152,6.0,8,21529,bay
153,6.0,9,35123,bay
154,6.0,10,47796,bay
155,6.0,11,59163,bay
156,6.0,12,66235,bay
157,6.0,13,71172,bay
158,6.0,14,71686,bay
159,6.0,15,69564,bay
160,6.0,16,65852,bay
161,6.0,17,59413,bay
162,6.0,18,51314,bay
163,6.0,19,39813,bay
164,6.0,20,28516,bay
165,6.0,21,22233,bay
166,6.0,22,17705,bay
167,6.0,23,13730,bay
0,0.0,0,20191,blue
1,0.0,1,16973,blue
2,0.0,2,10874,blue
3,0.0,3,3417,blue
4,0.0,4,1969,blue
5,0.0,5,3242,blue
6,0.0,6,6708,blue
7,0.0,7,12655,blue
8,0.0,8,26865,blue
9,0.0,9,45688,blue
10,0.0,10,66858,blue
11,0.0,11,82496,blue
12,0.0,12,96368,blue
13,0.0,13,102996,blue
14,0.0,14,104142,blue
15,0.0,15,103554,blue
16,0.0,16,101363,blue
17,0.0,17,93587,blue
18,0.0,18,83992,blue
19,0.0,19,64727,blue
20,0.0,20,46513,blue
21,0.0,21,32886,blue
22,0.0,22,24488,blue
23,0.0,23,15854,blue
24,1.0,0,8664,blue
25,1.0,1,4809,blue
26,1.0,2,2639,blue
27,1.0,3,1332,blue
28,1.0,4,2150,blue
29,1.0,5,9637,blue
30,1.0,6,33233,blue
31,1.0,7,87337,blue
32,1.0,8,144724,blue
33,1.0,9,81051,blue
34,1.0,10,53591,blue
35,1.0,11,57093,blue
36,1.0,12,67712,blue
37,1.0,13,66426,blue
38,1.0,14,65964,blue
39,1.0,15,78225,blue
40,1.0,16,123251,blue
41,1.0,17,180630,blue
42,1.0,18,132487,blue
43,1.0,19,90016,blue
44,1.0,20,58862,blue
45,1.0,21,38835,blue
46,1.0,22,25307,blue
47,1.0,23,14345,blue
48,2.0,0,7027,blue
49,2.0,1,3658,blue
50,2.0,2,2041,blue
51,2.0,3,1218,blue
52,2.0,4,2005,blue
53,2.0,5,11049,blue
54,2.0,6,37882,blue
55,2.0,7,99346,blue
56,2.0,8,162317,blue
57,2.0,9,88687,blue
58,2.0,10,53196,blue
59,2.0,11,55743,blue
60,2.0,12,65596,blue
61,2.0,13,63414,blue
62,2.0,14,62265,blue
63,2.0,15,75849,blue
64,2.0,16,127051,blue
65,2.0,17,191441,blue
66,2.0,18,142527,blue
67,2.0,19,94187,blue
68,2.0,20,62954,blue
69,2.0,21,43963,blue
70,2.0,22,29695,blue
71,2.0,23,16783,blue
72,3.0,0,8223,blue
73,3.0,1,4153,blue
74,3.0,2,2308,blue
75,3.0,3,1299,blue
76,3.0,4,2121,blue
77,3.0,5,11224,blue
78,3.0,6,39582,blue
79,3.0,7,102262,blue
80,3.0,8,168027,blue
81,3.0,9,92620,blue
82,3.0,10,56594,blue
83,3.0,11,59306,blue
84,3.0,12,70332,blue
85,3.0,13,67792,blue
86,3.0,14,66565,blue
87,3.0,15,79848,blue
88,3.0,16,129602,blue
89,3.0,17,194244,blue
90,3.0,18,143598,blue
91,3.0,19,98382,blue
92,3.0,20,65576,blue
93,3.0,21,45835,blue
94,3.0,22,31411,blue
95,3.0,23,18368,blue
96,4.0,0,8975,blue
97,4.0,1,4517,blue
98,4.0,2,2472,blue
99,4.0,3,1303,blue
100,4.0,4,1973,blue
101,4.0,5,10311,blue
102,4.0,6,37790,blue
103,4.0,7,98982,blue
104,4.0,8,163141,blue
105,4.0,9,91337,blue
106,4.0,10,56241,blue
107,4.0,11,60012,blue
108,4.0,12,71125,blue
109,4.0,13,68134,blue
110,4.0,14,67394,blue
111,4.0,15,81323,blue
112,4.0,16,130035,blue
113,4.0,17,187248,blue
114,4.0,18,139834,blue
115,4.0,19,95712,blue
116,4.0,20,66387,blue
117,4.0,21,47326,blue
118,4.0,22,34442,blue
119,4.0,23,21725,blue
120,5.0,0,11773,blue
121,5.0,1,6336,blue
122,5.0,2,3735,blue
123,5.0,3,1760,blue
124,5.0,4,2049,blue
125,5.0,5,9142,blue
126,5.0,6,32712,blue
127,5.0,7,85190,blue
128,5.0,8,148490,blue
129,5.0,9,88084,blue
130,5.0,10,59801,blue
131,5.0,11,65382,blue
132,5.0,12,79266,blue
133,5.0,13,80648,blue
134,5.0,14,81283,blue
135,5.0,15,96975,blue
136,5.0,16,138793,blue
137,5.0,17,166786,blue
138,5.0,18,122480,blue
139,5.0,19,86534,blue
140,5.0,20,58788,blue
141,5.0,21,43459,blue
142,5.0,22,36415,blue
143,5.0,23,27113,blue
144,6.0,0,19530,blue
145,6.0,1,14614,blue
146,6.0,2,9243,blue
147,6.0,3,3444,blue
148,6.0,4,2164,blue
149,6.0,5,3220,blue
150,6.0,6,7298,blue
151,6.0,7,16469,blue
152,6.0,8,32334,blue
153,6.0,9,51482,blue
154,6.0,10,71271,blue
155,6.0,11,89270,blue
156,6.0,12,102869,blue
157,6.0,13,109112,blue
158,6.0,14,112279,blue
