year_month,trips,service
2017-06,2689,bay
2017-07,44073,bay
2017-08,83292,bay
2017-09,98558,bay
2017-10,108937,bay
2017-11,95611,bay
2017-12,86539,bay
2018-01,94802,bay
2018-02,106718,bay
2018-03,111382,bay
2018-04,131169,bay
2018-05,179125,bay
2018-06,195968,bay
2018-07,199222,bay
2018-08,192162,bay
2018-09,186217,bay
2018-10,201458,bay
2018-11,134129,bay
2018-12,131363,bay
2019-01,192082,bay
2019-02,183412,bay
2019-03,256299,bay
2019-04,239092,bay
2019-05,182163,bay
2019-06,191771,bay
2019-07,258102,bay
2019-08,210560,bay
2019-09,217986,bay
2019-10,239879,bay
2019-11,185426,bay
2019-12,150080,bay
2020-01,295837,bay
2020-02,424747,bay
2020-03,182624,bay
2020-04,86004,bay
2020-05,138215,bay
2020-06,158270,bay
2020-07,155114,bay
2020-08,152579,bay
2020-09,144083,bay
2020-10,167238,bay
2020-11,132820,bay
2020-12,106374,bay
2015-01,7840,blue
2015-02,4020,blue
2015-03,11271,blue
2015-04,55843,blue
2015-05,149143,blue
2015-06,144232,blue
2015-07,175321,blue
2015-08,160065,blue
2015-09,150516,blue
2015-10,126656,blue
2015-11,88718,blue
2015-12,48916,blue
2016-01,12055,blue
2016-02,14643,blue
2016-03,41277,blue
2016-04,84262,blue
2016-05,129260,blue
2016-06,164667,blue
2016-07,167383,blue
2016-08,174198,blue
2016-09,165690,blue
2016-10,137864,blue
2016-11,99907,blue
2016-12,44991,blue
2017-01,19518,blue
2017-02,17271,blue
2017-03,31253,blue
2017-04,99860,blue
2017-05,127894,blue
2017-06,161910,blue
2017-07,175833,blue
2017-08,190651,blue
2017-09,165384,blue
2017-10,163615,blue
2017-11,105457,blue
2017-12,55072,blue
2018-01,40932,blue
2018-02,62816,blue
2018-03,62985,blue
2018-04,98194,blue
2018-05,178865,blue
2018-06,205359,blue
2018-07,242914,blue
2018-08,236076,blue
2018-09,236182,blue
2018-10,200092,blue
2018-11,121384,blue
2018-12,81960,blue
2019-01,69871,blue
2019-02,80466,blue
2019-03,102369,blue
2019-04,166678,blue
2019-05,222980,blue
2019-06,273943,blue
2019-07,316986,blue
2019-08,337444,blue
2019-09,363159,blue
2019-10,305488,blue
2019-11,190751,blue
2019-12,92208,blue
2020-01,128598,blue
2020-02,133234,blue
2020-03,107350,blue
2020-04,46793,blue
2020-05,124879,blue
2020-06,191843,blue
2020-07,259722,blue
2020-08,289033,blue
2020-09,307853,blue
2020-10,248424,blue
2020-11,161712,blue
2020-12,74002,blue
2010-09,4002,capital
2010-10,35957,capital
2010-11,47388,capital
2010-12,28248,capital
2011-01,37503,capital
2011-02,47558,capital
2011-03,63195,capital
2011-04,93100,capital
2011-05,133785,capital
2011-06,141743,capital
2011-07,139578,capital
2011-08,135020,capital
2011-09,125901,capital
2011-10,122048,capital
2011-11,101015,capital
2011-12,86312,capital
2012-01,95871,capital
2012-02,102235,capital
2012-03,163211,capital
2012-04,172478,capital
2012-05,193718,capital
2012-06,200636,capital
2012-07,201560,capital
2012-08,212093,capital
2012-09,216264,capital
2012-10,196901,capital
2012-11,151313,capital
2012-12,122616,capital
2013-01,124989,capital
2013-02,110102,capital
2013-03,157366,capital
2013-04,236442,capital
2013-05,250463,capital
2013-06,253767,capital
2013-07,268016,capital
2013-08,288793,capital
2013-09,281937,capital
2013-10,254649,capital
2013-11,192398,capital
2013-12,136600,capital
2014-01,112697,capital
2014-02,122663,capital
2014-03,165762,capital
2014-04,269511,capital
2014-05,306734,capital
2014-06,316574,capital
2014-07,327833,capital
2014-08,320870,capital
2014-09,323936,capital
2014-10,297962,capital
2014-11,197038,capital
2014-12,151560,capital
2015-01,127411,capital
2015-02,108052,capital
2015-03,188256,capital
2015-04,318340,capital
2015-05,367185,capital
2015-06,314293,capital
2015-07,364015,capital
2015-08,364313,capital
2015-09,328038,capital
2015-10,290351,capital
2015-11,228270,capital
2015-12,187357,capital
2016-01,123252,capital
2016-02,145654,capital
2016-03,283493,capital
2016-04,285516,capital
2016-05,288720,capital
2016-06,368097,capital
2016-07,366458,capital
2016-08,357328,capital
2016-09,344408,capital
2016-10,343243,capital
2016-11,259086,capital
2016-12,168719,capital
2017-01,174804,capital
2017-02,226303,capital
2017-03,245403,capital
2017-04,365990,capital
2017-05,339677,capital
2017-06,398751,capital
2017-07,397680,capital
2017-08,402534,capital
2017-09,391371,capital
2017-10,384833,capital
2017-11,252526,capital
2017-12,177897,capital
2018-01,168590,capital
2018-02,182378,capital
2018-03,238998,capital
2018-04,328907,capital
2018-05,374115,capital
2018-06,392338,capital
2018-07,404761,capital
2018-08,403866,capital
2018-09,325800,capital
2018-10,343021,capital
2018-11,202376,capital
2018-12,177534,capital
2019-01,150780,capital
2019-02,158130,capital
2019-03,253811,capital
2019-04,347992,capital
2019-05,337704,capital
2019-06,350144,capital
2019-07,356645,capital
2019-08,360044,capital
2019-09,360225,capital
2019-10,337552,capital
2019-11,223512,capital
2019-12,161878,capital
2020-01,196969,capital
2020-02,177901,capital
2020-03,162530,capital
2020-04,75094,capital
2020-05,148459,capital
2020-06,213322,capital
2020-07,227417,capital
2020-08,250260,capital
2020-09,248722,capital
2020-10,228351,capital
2020-11,174795,capital
2020-12,105240,capital
2013-06,577702,citi
2013-07,843417,citi
2013-08,1001958,citi
2013-09,1034359,citi
2013-10,1037712,citi
2013-11,675774,citi
2013-12,443966,citi
2014-01,300400,citi
2014-02,224736,citi
2014-03,439117,citi
2014-04,670780,citi
2014-05,866117,citi
2014-06,936880,citi
2014-07,968842,citi
2014-08,963489,citi
2014-09,953887,citi
2014-10,828711,citi
2014-11,529188,citi
2014-12,399069,citi
2015-01,285552,citi
2015-02,196930,citi
2015-03,341826,citi
2015-04,652390,citi
2015-05,961986,citi
2015-06,941219,citi
2015-07,1085676,citi
2015-08,1179044,citi
2015-09,1289699,citi
2015-10,1212277,citi
2015-11,987175,citi
2015-12,804125,citi
2016-01,509478,citi
2016-02,560874,citi
2016-03,919921,citi
2016-04,1013149,citi
2016-05,1212280,citi
2016-06,1460318,citi
2016-07,1380110,citi
2016-08,1557663,citi
2016-09,1648856,citi
2016-10,1573872,citi
2016-11,1196859,citi
2016-12,812192,citi
2017-01,726676,citi
2017-02,791647,citi
2017-03,727665,citi
2017-04,1315404,citi
2017-05,1523268,citi
2017-06,1731594,citi
2017-07,1735599,citi
2017-08,1816498,citi
2017-09,1878098,citi
2017-10,1897592,citi
2017-11,1330600,citi
2017-12,889967,citi
2018-01,718994,citi
2018-02,843114,citi
2018-03,976672,citi
2018-04,1307543,citi
2018-05,1824710,citi
2018-06,1953103,citi
2018-07,1913625,citi
2018-08,1977177,citi
2018-09,1877884,citi
2018-10,1878657,citi
2018-11,1260355,citi
2018-12,1016505,citi
2019-01,967287,citi
2019-02,943744,citi
2019-03,1327960,citi
2019-04,1766094,citi
2019-05,1924563,citi
2019-06,2125370,citi
2019-07,2181064,citi
2019-08,2344224,citi
2019-09,2444900,citi
2019-10,2092573,citi
2019-11,1478708,citi
2019-12,955210,citi
2020-01,1240596,citi
2020-02,1146830,citi
2020-03,1068457,citi
2020-04,682762,citi
2020-05,1487890,citi
2020-06,1882273,citi
2020-07,2105808,citi
2020-08,2329514,citi
2020-09,2488225,citi
2020-10,2248869,citi
2020-11,1736704,citi
2020-12,1088929,citi
2013-06,4005,divvy
2013-07,74867,divvy
2013-08,170508,divvy
2013-09,201030,divvy
2013-10,174695,divvy
2013-11,90010,divvy
2013-12,44673,divvy
2014-01,25076,divvy
2014-02,28087,divvy
2014-03,69308,divvy
2014-04,158476,divvy
2014-05,278745,divvy
2014-06,346007,divvy
2014-07,410340,divvy
2014-08,392117,divvy
2014-09,308513,divvy
2014-10,237313,divvy
2014-11,113875,divvy
2014-12,86777,divvy
2015-01,59278,divvy
2015-02,35138,divvy
2015-03,107933,divvy
2015-04,176228,divvy
2015-05,301815,divvy
2015-06,415847,divvy
2015-07,533711,divvy
2015-08,495029,divvy
2015-09,427095,divvy
2015-10,316512,divvy
2015-11,193791,divvy
2015-12,121062,divvy
2016-01,92839,divvy
2016-02,118120,divvy
2016-03,185954,divvy
2016-04,231635,divvy
2016-05,363319,divvy
2016-06,477873,divvy
2016-07,518093,divvy
2016-08,484524,divvy
2016-09,439194,divvy
2016-10,350194,divvy
2016-11,240408,divvy
2016-12,93230,divvy
2017-01,111942,divvy
2017-02,166343,divvy
2017-03,153406,divvy
2017-04,268662,divvy
