year,trips,service
2017-01-01,519699,bay
2018-01-01,1863715,bay
2019-01-01,2506852,bay
2020-01-01,2143905,bay
2015-01-01,1122541,blue
2016-01-01,1236197,blue
2017-01-01,1313718,blue
2018-01-01,1767759,blue
2019-01-01,2522343,blue
2020-01-01,2073443,blue
2010-01-01,115595,capital
2011-01-01,1226758,capital
2012-01-01,2028896,capital
2013-01-01,2555522,capital
2014-01-01,2913140,capital
2015-01-01,3185881,capital
2016-01-01,3333974,capital
2017-01-01,3757769,capital
2018-01-01,3542684,capital
2019-01-01,3398417,capital
2020-01-01,2209060,capital
2013-01-01,5614888,citi
2014-01-01,8081216,citi
2015-01-01,9937899,citi
2016-01-01,13845572,citi
2017-01-01,16364608,citi
2018-01-01,17548339,citi
2019-01-01,20551697,citi
2020-01-01,19506857,citi
2013-01-01,759788,divvy
2014-01-01,2454634,divvy
2015-01-01,3183439,divvy
2016-01-01,3595383,divvy
2017-01-01,3829003,divvy
2018-01-01,3603075,divvy
2019-01-01,3817991,divvy
2020-01-01,3530557,divvy
