endid,endname,end_lat,end_long,geometry,zipcode
126,Esprit Park,37.761635,-122.39065,POINT (-122.39065 37.761635),94107
BK-A7,Vine St at Shattuck Ave,37.880222,-122.26959,POINT (-122.26959 37.880222),94709
BK-B7,Virginia St at Shattuck Ave,37.87657,-122.26953,POINT (-122.26953 37.87657),94709
BK-B9,Hearst Ave at Euclid Ave,37.87511,-122.26055,POINT (-122.26055 37.87511),94709
BK-C1,Fifth St at Delaware St,37.870407,-122.299675,POINT (-122.299675 37.870407),94710
BK-C5,North Berkeley BART Station,37.873558,-122.2831,POINT (-122.2831 37.873558),94702
BK-C6,MLK Jr Way at University Ave,37.87172,-122.27307,POINT (-122.27307 37.87172),94704
BK-C7,Shattuck Ave at Hearst Ave,37.873676,-122.268486,POINT (-122.268486 37.873676),94704
BK-C8,University Ave at Oxford St,37.872356,-122.26645,POINT (-122.26645 37.872356),94704
BK-D1,Addison St at Fourth St,37.86625,-122.29937,POINT (-122.29937 37.86625),94710
BK-D10,Bancroft Way at College Ave,37.86936,-122.25434,POINT (-122.25434 37.86936),94720
BK-D2,10th St at University Ave,37.86906,-122.293396,POINT (-122.293396 37.86906),94710
BK-D4,West St at University Ave,37.86997,-122.28653,POINT (-122.28653 37.86997),94702
BK-D5,California St at University Ave,37.870556,-122.27972,POINT (-122.27972 37.870556),94703
BK-D7-1,Downtown Berkeley BART,37.87014,-122.268425,POINT (-122.268425 37.87014),94704
BK-D7-2,Berkeley Civic Center,37.86906,-122.27055,POINT (-122.27055 37.86906),94704
BK-E10,Haste St at College Ave,37.866417,-122.2538,POINT (-122.2538 37.866417),94704
BK-E2,Channing Way at San Pablo Ave,37.862827,-122.29023,POINT (-122.29023 37.862827),94710
BK-E7,Channing Way at Shattuck Ave,37.865845,-122.26744,POINT (-122.26744 37.865845),94704
BK-E8,Fulton St at Bancroft Way,37.86779,-122.2659,POINT (-122.2659 37.86779),94704
BK-E9-1,Bancroft Way at Telegraph Ave,37.868813,-122.258766,POINT (-122.258766 37.868813),94704
BK-E9-2,Haste St at Telegraph Ave,37.866043,-122.258804,POINT (-122.258804 37.866043),94704
BK-F10,Derby St at College Ave,37.861805,-122.25357,POINT (-122.25357 37.861805),94705
BK-F2,Ninth St at Parker St,37.858868,-122.29121,POINT (-122.29121 37.858868),94710
BK-F7,Milvia St at Derby St,37.860126,-122.26939,POINT (-122.26939 37.860126),94704
BK-F8,Parker St at Fulton St,37.862465,-122.26479,POINT (-122.26479 37.862465),94704
BK-G4,San Pablo Park,37.85578,-122.28313,POINT (-122.28313 37.85578),94702
BK-G7,Oregon St at Adeline St,37.857567,-122.267555,POINT (-122.267555 37.857567),94703
BK-G8,Ellsworth St at Russell St,37.85749,-122.26158,POINT (-122.26158 37.85749),94705
BK-G9,Telegraph Ave at Carleton St,37.86232,-122.258804,POINT (-122.258804 37.86232),94704
BK-H10,Russell St at College Ave,37.858475,-122.25325,POINT (-122.25325 37.858475),94705
BK-H3,Ninth St at Heinz Ave,37.85391,-122.289696,POINT (-122.289696 37.85391),94710
BK-H6,Ashby BART Station,37.852478,-122.27021,POINT (-122.27021 37.852478),94703
BK-H8,Fulton St at Ashby Ave,37.855576,-122.263565,POINT (-122.263565 37.855576),94705
BK-H9,Telegraph Ave at Ashby Ave,37.855957,-122.259796,POINT (-122.259796 37.855957),94705
BK-I5,Woolsey St at Sacramento St,37.85058,-122.278175,POINT (-122.278175 37.85058),94702
BK-I6,Harmon St at Adeline St,37.849735,-122.270584,POINT (-122.270584 37.849735),94703
EM-A1,59th St at Horton St,37.840946,-122.29136,POINT (-122.29136 37.840946),94608
EM-A2,Doyle St at 59th St,37.841923,-122.28805,POINT (-122.28805 37.841923),94608
EM-B0-2,2100 Powell St,37.839542,-122.29872,POINT (-122.29872 37.839542),94608
EM-B1,Emeryville Public Market,37.840523,-122.293526,POINT (-122.293526 37.840523),94608
EM-B2,Stanford Ave at Hollis St,37.838444,-122.288666,POINT (-122.288666 37.838444),94608
EM-C1,65th St at Hollis St,37.846783,-122.291374,POINT (-122.291374 37.846783),94608
EM-C2,53rd St at Hollis St,37.83618,-122.28718,POINT (-122.28718 37.83618),94608
EM-C3,47th St at San Pablo Ave,37.835632,-122.28105,POINT (-122.28105 37.835632),94608
EM-D2,Horton St at 40th St,37.829704,-122.28761,POINT (-122.28761 37.829704),94608
EM-D3,Emeryville Town Hall,37.831276,-122.28564,POINT (-122.28564 37.831276),94608
EM-D4,Adeline St at 40th St,37.831276,-122.27827,POINT (-122.27827 37.831276),94608
OK-A2,Telegraph Ave at Alcatraz Ave,37.850224,-122.26017,POINT (-122.26017 37.850224),94609
OK-A4,College Ave at Harwood Ave,37.848152,-122.25216,POINT (-122.25216 37.848152),94618
OK-B2,Bushrod Park,37.846516,-122.265305,POINT (-122.265305 37.846516),94609
OK-B3,Telegraph Ave at 58th St,37.844494,-122.26135,POINT (-122.26135 37.844494),94609
OK-B4,Rockridge BART Station,37.84428,-122.2519,POINT (-122.2519 37.84428),94618
